,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen,location,point,latitude,longitude,altitude
0,LK Ahrweiler,121,1,109,"Ahrweiler, Bad Neuenahr-Ahrweiler, Landkreis Ahrweiler, Rheinland-Pfalz, Deutschland","(50.54183, 7.0951124, 0.0)",50.54183,7.0951124,0.0
1,LK Aichach-Friedberg,276,20,237,"Friedberg, Landkreis Aichach-Friedberg, Bayern, 86316, Deutschland","(48.3549199, 10.9838928, 0.0)",48.3549199,10.9838928,0.0
2,LK Alb-Donau-Kreis,527,11,301,,,,,
3,LK Altenburger Land,51,3,37,,,,,
4,LK Altenkirchen,149,9,114,"Altenkirchen (Westerwald), Altenkirchen-Flammersfeld, Landkreis Altenkirchen, Rheinland-Pfalz, 57610, Deutschland","(50.687656849999996, 7.638951800514453, 0.0)",50.687656849999996,7.638951800514453,0.0
5,LK Altmarkkreis Salzwedel,32,0,25,"Salzwedel, Altmarkkreis Salzwedel, Sachsen-Anhalt, 29410, Deutschland","(52.8528456, 11.1539699, 0.0)",52.8528456,11.1539699,0.0
6,LK Altötting,583,33,415,"Altötting, Landkreis Altötting, Bayern, 84503, Deutschland","(48.2268085, 12.6757914, 0.0)",48.2268085,12.6757914,0.0
7,LK Alzey-Worms,221,5,147,"Alzey, Landkreis Alzey-Worms, Rheinland-Pfalz, Deutschland","(49.7455695, 8.1150946, 0.0)",49.7455695,8.1150946,0.0
8,LK Amberg-Sulzbach,446,42,284,"Am Berg, Sägmühle, Auerbach in der Oberpfalz, Landkreis Amberg-Sulzbach, Bayern, 91275, Deutschland","(49.7018511, 11.5858474, 0.0)",49.7018511,11.5858474,0.0
9,LK Ammerland,161,5,146,"Ammerland, Landkreis Bad Tölz-Wolfratshausen, Bayern, 82541, Deutschland","(47.9023747, 11.3372191, 0.0)",47.9023747,11.3372191,0.0
10,LK Anhalt-Bitterfeld,69,1,52,"Bitterfeld, Bitterfeld-Wolfen, Anhalt-Bitterfeld, Sachsen-Anhalt, 06749, Deutschland","(51.6239124, 12.3301466, 0.0)",51.6239124,12.3301466,0.0
11,LK Ansbach,535,16,372,"Ansbach, Bayern, 91522, Deutschland","(49.3028611, 10.5722288, 0.0)",49.3028611,10.5722288,0.0
