OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Shape__Area,Shape__Length,Death
1,01,Schleswig-Holstein,Land,2889821,15,1631,2020-04-04T22:00:00.000Z,01,fc5ba936-c95c-432c-8a33-9eb2f30b660f,56.439481891785,45737314116.8701,2881496.1295035,18
2,02,Hamburg,Freie und Hansestadt,1830584,6,2945,2020-04-04T22:00:00.000Z,02,0f3e860c-5181-4d3f-a421-1d51f50315ea,160.877621567762,2089396054.82129,418800.187474072,19
3,03,Niedersachsen,Land,7962775,9,5712,2020-04-04T22:00:00.000Z,03,3fd77024-c29b-4843-9be8-682ad48e60c9,71.7337862742574,129983613598.973,4008988.2951652,89
4,04,Bremen,Freie Hansestadt,681032,5,394,2020-04-04T22:00:00.000Z,04,4132268b-54de-4327-ac1e-760e915112f1,57.8533754654701,1119156745.43408,335717.737774516,6
5,05,Nordrhein-Westfalen,Land,17912134,10,18735,2020-04-04T22:00:00.000Z,05,561d658f-3ee5-46e3-bc95-3528c6558ab9,104.593902658388,87829361998.0295,2648672.50917441,245
6,06,Hessen,Land,6243262,7,4575,2020-04-04T22:00:00.000Z,06,93277ac4-e8fc-48c7-8940-028dc2ed66af,73.2790006249938,52359125900.6655,2148243.6201819,56
7,07,Rheinland-Pfalz,Land,4073679,11,3663,2020-04-04T22:00:00.000Z,07,e9b4296f-9be2-4e53-9a58-ccf1396cb03d,89.9187196634786,47838767393.1633,1774430.12830596,32
8,08,Baden-Württemberg,Land,11023425,1,18614,2020-04-04T22:00:00.000Z,08,80394ddf-c6a4-4a6e-be8e-0259a81b22a9,168.858589775864,81517323536.8628,2544320.39805124,367
9,09,Bayern,Freistaat,12997204,2,23846,2020-04-04T22:00:00.000Z,09,1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a,183.470229443194,163485540875.077,3898617.90542911,396
10,10,Saarland,Land,994187,12,1358,2020-04-04T22:00:00.000Z,10,e3396a6f-8a30-4fdf-8df7-def77dd38bea,136.594021044331,6060691818.01318,562678.876124348,14
11,11,Berlin,Land,3613495,3,3613,2020-04-04T22:00:00.000Z,11,c7033073-2bb0-486b-97af-5b3c639e7219,99.9863013509082,2402458320.59863,363979.182407356,24
12,12,Brandenburg,Land,2504040,4,1305,2020-04-04T22:00:00.000Z,12,b560af89-5895-4be4-96f8-0f581cd8a858,52.1157808980687,79801970800.2686,2571385.42188057,17
13,13,Mecklenburg-Vorpommern,Land,1611119,8,523,2020-04-04T22:00:00.000Z,13,a27f5628-e790-45be-898d-f0a6841c0f7e,32.4619100140958,65873523064.0757,4131181.10875485,5
14,14,Sachsen,Freistaat,4081308,13,2741,2020-04-04T22:00:00.000Z,14,256d2405-a7c8-4fec-93df-29f3c808cd25,67.1598418938242,46626497892.9951,2048279.98573376,32
15,15,Sachsen-Anhalt,Land,2223081,14,919,2020-04-04T22:00:00.000Z,15,66106bbe-f04b-4f92-80e1-5b5b30da25b5,41.3390245339688,54177007537.6553,1920386.52842308,12
16,16,Thüringen,Freistaat,2151205,16,1140,2020-04-04T22:00:00.000Z,16,3a3e2817-bb19-4f8c-8bca-d8ff591140d4,52.9935547751144,40685205073.9761,2015719.49965031,10
